epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,104052,0.52672,0.8851,0.41417,1.03103,0,0.97259,0.94252,0.97224,0.90388,0.97099,0.94018,0.96508,0.9029,0.37197,0.70939,0.24236,0.89912,0,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,105662,0.52739,0.86879,0.41466,1.02849,0,0.96872,0.94549,0.97448,0.90853,0.96639,0.93924,0.96359,0.90234,0.37287,0.6973,0.24371,0.89988,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,107916,0.51541,0.871,0.40748,1.02144,0,0.97395,0.94321,0.97528,0.91143,0.96873,0.93658,0.96167,0.90163,0.37322,0.73844,0.24409,0.89564,0,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,110112,0.5216,0.86402,0.41399,1.02524,0,0.96933,0.93802,0.9757,0.91218,0.95505,0.93588,0.95854,0.89628,0.37202,0.73893,0.24322,0.8994,0,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,111928,0.51562,0.86476,0.41101,1.02032,0,0.96799,0.9417,0.97527,0.90986,0.96356,0.93924,0.96491,0.90233,0.37714,0.74433,0.24296,0.90581,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,113589,0.51726,0.87498,0.40964,1.02733,0,0.96673,0.94901,0.97595,0.91301,0.96109,0.94278,0.96415,0.90469,0.37323,0.71392,0.24752,0.90599,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,115161,0.52361,0.86151,0.40937,1.02633,0,0.96494,0.94963,0.97502,0.90933,0.9562,0.93985,0.95937,0.89692,0.381,0.72116,0.2535,0.90358,0,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,117005,0.53132,0.83125,0.41534,1.03237,0,0.96239,0.9484,0.97515,0.91162,0.95179,0.93802,0.95985,0.90116,0.3752,0.72419,0.24515,0.8994,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,118470,0.51534,0.82637,0.40946,1.02425,0,0.97601,0.93832,0.97532,0.91166,0.96489,0.92763,0.95721,0.89727,0.37264,0.74467,0.24673,0.89617,0,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,119962,0.52052,0.8712,0.4153,1.02071,0,0.97196,0.94187,0.97565,0.91253,0.96044,0.93408,0.96294,0.90393,0.37091,0.74784,0.24136,0.89252,0,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,121576,0.51838,0.8326,0.40001,1.02119,0,0.96629,0.94931,0.97551,0.9118,0.96211,0.93817,0.96307,0.90405,0.37278,0.73144,0.24327,0.89424,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,123109,0.50963,0.81054,0.39633,1.0149,0,0.96883,0.94893,0.97503,0.90945,0.96032,0.93893,0.95779,0.89628,0.37423,0.75175,0.24018,0.90147,0,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,124802,0.51346,0.84015,0.40623,1.01897,0,0.96902,0.94556,0.97547,0.91313,0.96213,0.93802,0.96207,0.90066,0.37355,0.71547,0.24602,0.90253,0,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,125915,0.51287,0.80395,0.40497,1.01647,0,0.97036,0.94951,0.97474,0.91259,0.96449,0.93717,0.9598,0.89976,0.36533,0.74772,0.23642,0.89364,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
